Table                    | Index        | Content
X86MemOperandST          | 0            | anymem
X86MemOperandST          | 1            | dstidx16
X86MemOperandST          | 2            | dstidx32
X86MemOperandST          | 3            | dstidx64
X86MemOperandST          | 4            | dstidx8
X86MemOperandST          | 5            | f128mem
X86MemOperandST          | 6            | f16mem
X86MemOperandST          | 7            | f256mem
X86MemOperandST          | 8            | f32mem
X86MemOperandST          | 9            | f512mem
X86MemOperandST          | 10           | f64mem
X86MemOperandST          | 11           | f80mem
X86MemOperandST          | 12           | i128mem
X86MemOperandST          | 13           | i16mem
X86MemOperandST          | 14           | i256mem
X86MemOperandST          | 15           | i32mem
X86MemOperandST          | 16           | i512mem
X86MemOperandST          | 17           | i64mem
X86MemOperandST          | 18           | i8mem
X86MemOperandST          | 19           | offset16_16
X86MemOperandST          | 20           | offset16_32
X86MemOperandST          | 21           | offset16_8
X86MemOperandST          | 22           | offset32_16
X86MemOperandST          | 23           | offset32_32
X86MemOperandST          | 24           | offset32_64
X86MemOperandST          | 25           | offset32_8
X86MemOperandST          | 26           | offset64_16
X86MemOperandST          | 27           | offset64_32
X86MemOperandST          | 28           | offset64_64
X86MemOperandST          | 29           | offset64_8
X86MemOperandST          | 30           | opaquemem
X86MemOperandST          | 31           | sdmem
X86MemOperandST          | 32           | shmem
X86MemOperandST          | 33           | sibmem
X86MemOperandST          | 34           | srcidx16
X86MemOperandST          | 35           | srcidx32
X86MemOperandST          | 36           | srcidx64
X86MemOperandST          | 37           | srcidx8
X86MemOperandST          | 38           | ssmem
X86MemOperandST          | 39           | vx128mem
X86MemOperandST          | 40           | vx128xmem
X86MemOperandST          | 41           | vx256mem
X86MemOperandST          | 42           | vx256xmem
X86MemOperandST          | 43           | vx64mem
X86MemOperandST          | 44           | vx64xmem
X86MemOperandST          | 45           | vy128mem
X86MemOperandST          | 46           | vy128xmem
X86MemOperandST          | 47           | vy256mem
X86MemOperandST          | 48           | vy256xmem
X86MemOperandST          | 49           | vy512xmem
X86MemOperandST          | 50           | vz256mem
X86MemOperandST          | 51           | vz512mem
