Table                    | Index        | Content
AVX512ST                 | 0            | V4FMADDPSrm
AVX512ST                 | 1            | V4FMADDPSrmk
AVX512ST                 | 2            | V4FMADDPSrmkz
AVX512ST                 | 3            | V4FMADDSSrm
AVX512ST                 | 4            | V4FMADDSSrmk
AVX512ST                 | 5            | V4FMADDSSrmkz
AVX512ST                 | 6            | V4FNMADDPSrm
AVX512ST                 | 7            | V4FNMADDPSrmk
AVX512ST                 | 8            | V4FNMADDPSrmkz
AVX512ST                 | 9            | V4FNMADDSSrm
AVX512ST                 | 10           | V4FNMADDSSrmk
AVX512ST                 | 11           | V4FNMADDSSrmkz
AVX512ST                 | 12           | VADDPDZ128rm
AVX512ST                 | 13           | VADDPDZ128rmb
AVX512ST                 | 14           | VADDPDZ128rmbk
AVX512ST                 | 15           | VADDPDZ128rmbkz
AVX512ST                 | 16           | VADDPDZ128rmk
AVX512ST                 | 17           | VADDPDZ128rmkz
AVX512ST                 | 18           | VADDPDZ128rr
AVX512ST                 | 19           | VADDPDZ128rrk
AVX512ST                 | 20           | VADDPDZ128rrkz
AVX512ST                 | 21           | VADDPDZ256rm
AVX512ST                 | 22           | VADDPDZ256rmb
AVX512ST                 | 23           | VADDPDZ256rmbk
AVX512ST                 | 24           | VADDPDZ256rmbkz
AVX512ST                 | 25           | VADDPDZ256rmk
AVX512ST                 | 26           | VADDPDZ256rmkz
AVX512ST                 | 27           | VADDPDZ256rr
AVX512ST                 | 28           | VADDPDZ256rrk
AVX512ST                 | 29           | VADDPDZ256rrkz
AVX512ST                 | 30           | VADDPDZrm
AVX512ST                 | 31           | VADDPDZrmb
AVX512ST                 | 32           | VADDPDZrmbk
AVX512ST                 | 33           | VADDPDZrmbkz
AVX512ST                 | 34           | VADDPDZrmk
AVX512ST                 | 35           | VADDPDZrmkz
AVX512ST                 | 36           | VADDPDZrr
AVX512ST                 | 37           | VADDPDZrrb
AVX512ST                 | 38           | VADDPDZrrbk
AVX512ST                 | 39           | VADDPDZrrbkz
AVX512ST                 | 40           | VADDPDZrrk
AVX512ST                 | 41           | VADDPDZrrkz
AVX512ST                 | 42           | VADDPHZ128rm
AVX512ST                 | 43           | VADDPHZ128rmb
AVX512ST                 | 44           | VADDPHZ128rmbk
AVX512ST                 | 45           | VADDPHZ128rmbkz
